direccion,horario,latitud,localidad,longitud,municipio,precio_gasoleo_a,precio_gasoleo_b,precio_gasoleo_premium,precio_gasolina_95_e10',precio_gasolina_95_e5,precio_gasolina_95_e5_premium,precio_gasolina_98_e10,precio_gasolina_98_e5,provincia,rotulo,ideess,id_municipio,id_provincia
"AVENIDA CASTILLA LA MANCHA, 26",L-D: 07:00-22:00,39.211417,ABENGIBRE,-1.539167,Abengibre,1.599,1.219,NA,NA,1.699,NA,NA,NA,ALBACETE,Nº 10.935,4375,52,02
"AVENIDA 1º DE MAYO, S/N",L-S: 08:00-22:00; D: 09:00-21:00,38.985667,ALBACETE,-1.8685,Albacete,1.729,NA,1.769,NA,1.779,NA,NA,1.889,ALBACETE,CARREFOUR,10765,54,02
"CALLE FEDERICO GARCIA LORCA, 1",L-D: 24H,39.000861,ALBACETE,-1.849833,Albacete,1.589,NA,NA,NA,1.659,NA,NA,NA,ALBACETE,PLENOIL,13933,54,02
"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",L-D: 06:00-21:30,39.054694,ALBACETE,-1.832,Albacete,1.709,NA,1.799,NA,1.759,NA,NA,1.901,ALBACETE,BP ROMICA,12054,54,02
"CALLE FEDERICO GARCIA LORCA, 5",L-S: 05:00-23:00,38.997722,ALBACETE,-1.846361,Albacete,1.745,NA,NA,NA,NA,NA,NA,NA,ALBACETE,CEPSA,4438,54,02
"CL PASEO DE LA CUBA, 15",L-D: 06:00-22:00,38.999722,ALBACETE,-1.854556,Albacete,1.719,NA,1.779,NA,1.769,NA,NA,1.889,ALBACETE,REPSOL,5195,54,02
"PASEO CUBA (LA), 36",L-D: 06:00-23:00,39.005083,ALBACETE,-1.859917,Albacete,1.749,NA,1.815,NA,1.789,NA,NA,1.921,ALBACETE,CEPSA,14123,54,02
"AVENIDA MENÉNDEZ PIDAL, 58",L-D: 24H,39.003333,ALBACETE,-1.864917,Albacete,1.709,NA,1.759,NA,1.769,NA,NA,1.879,ALBACETE,TAMOS,4369,54,02
"AVENIDA ESCRITOR RODRIGO RUBIO, 3",L-S: 09:00-21:30,39.006889,ALBACETE,-1.885361,Albacete,1.578,NA,1.638,NA,1.688,NA,NA,NA,ALBACETE,A&A,15000,54,02
"CALLE HERMANOS FALCÓ, 2",L-D: 06:30-22:30,38.98925,ALBACETE,-1.849028,Albacete,1.759,NA,1.829,NA,1.799,NA,NA,1.939,ALBACETE,CEPSA,5313,54,02
"AVENIDA 1º DE MAYO, S/N",L-D: 07:00-23:00,38.985194,ALBACETE,-1.866806,Albacete,1.639,NA,NA,NA,1.719,NA,NA,NA,ALBACETE,PETROCAMP,5318,54,02
"CALLE CTRA. DE JAEN, 79",L-D: 06:00-23:00,38.988111,ALBACETE,-1.883694,Albacete,1.729,NA,1.799,NA,1.799,NA,NA,1.929,ALBACETE,REPSOL,5222,54,02
"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N",L-S: 07:00-23:00; D: 08:00-23:00,38.988972,ALBACETE,-1.847361,Albacete,1.569,NA,1.659,NA,1.639,NA,NA,1.699,ALBACETE,FAMILY ENERGY,4428,54,02
"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N",L-D: 07:00-23:00,38.982167,ALBACETE,-1.853306,Albacete,1.629,NA,NA,NA,1.729,NA,NA,NA,ALBACETE,INPEALSA,4416,54,02
CARRETERA JAEN KM. 2,L-D: 24H,38.994667,ALBACETE,-1.871722,Albacete,1.729,NA,1.789,NA,1.779,1.819,NA,1.889,ALBACETE,REPSOL,5245,54,02
CARRETERA N-322 KM. 359,L-V: 07:00-21:00; S-D: 09:00-14:00,39.033139,ALBACETE,-1.845083,Albacete,1.709,NA,1.769,NA,1.759,NA,NA,1.889,ALBACETE,REPSOL,5289,54,02
"CALLE ALMANSA, 2",L-D: 06:00-23:00,38.984139,ALBACETE,-1.847083,Albacete,1.749,NA,1.815,NA,1.779,NA,NA,1.911,ALBACETE,CEPSA,4795,54,02
"CR N-301, 244",L-D: 24H,39.027778,ALBACETE,-1.892972,Albacete,1.729,NA,1.789,NA,1.769,NA,NA,1.889,ALBACETE,REPSOL,5208,54,02
"PG CAMPOLLANO-P. 2-CT, S.N.",L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,39.012583,ALBACETE,-1.874972,Albacete,1.729,NA,1.789,NA,1.759,NA,NA,1.879,ALBACETE,REPSOL,5191,54,02
"AVDA. DE LOS TOREROS, S/N",L-D: 07:00-23:00,38.998222,ALBACETE,-1.869889,Albacete,1.629,NA,1.679,NA,1.729,NA,NA,NA,ALBACETE,INPEALSA,4415,54,02
CARRETERA NACIONAL 322 PTO KM 347 KM. 347,L-S: 07:00-22:00,38.965639,ALBACETE,-1.9355,Albacete,1.619,NA,NA,NA,NA,NA,NA,NA,ALBACETE,P347,14377,54,02
"CR N-322, 337,8",L-D: 06:30-22:00,38.925833,ALBACETE,-2.031861,Albacete,1.739,NA,1.809,NA,1.789,NA,NA,1.909,ALBACETE,REPSOL,5116,54,02
CARRETERA NACIONAL 301 KM. 256,L-D: 24H,38.929389,ALBACETE,-1.831639,Albacete,1.609,NA,NA,NA,1.729,NA,NA,NA,ALBACETE,INPEALSA,5129,54,02
CARRETERA N-322 KM. 349,L-D: 24H,38.970166999999996,ALBACETE,-1.919778,Albacete,1.759,NA,1.829,NA,1.789,NA,NA,1.849,ALBACETE,CEPSA,11048,54,02
"AVENIDA PRINCIPE, 2",L-D: 08:00-16:00,38.900944,SANTA ANA,-1.994028,Albacete,1.689,1.416,1.749,NA,1.719,NA,NA,1.839,ALBACETE,REPSOL,5272,54,02
"CM. 3203 km 14,1",L-S: 07:00-14:00; D: 09:00-14:00,38.867556,SALOBRAL (EL),-1.9205,Albacete,1.637,1.179,1.86,NA,1.692,NA,NA,NA,ALBACETE,LOZANO,4394,54,02
"CTRA.AGUASNUEVAS KM 0,25",L-D: 24H,38.870278,SALOBRAL (EL),-1.922722,Albacete,NA,1.2,NA,NA,NA,NA,NA,NA,ALBACETE,CORYMAR,8915,54,02
"CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N",L-D: 24H,39.029583,ALBACETE,-1.888083,Albacete,NA,NA,NA,NA,NA,NA,NA,NA,ALBACETE,NATURGY ES  GNV ALBACETE,14612,54,02
"CALLE AUTOVIA, SN",L-D: 24H,39.029167,ALBACETE,-1.888333,Albacete,1.619,NA,NA,NA,1.729,NA,NA,NA,ALBACETE,LA GAVIOTA GASOLINERA 24 HORA,15547,54,02
AUTOVIA A-31 KM. 69,L-D: 06:00-22:00,39.031528,ALBACETE,-1.891361,Albacete,1.719,NA,1.819,NA,1.769,NA,NA,1.929,ALBACETE,REPSOL,11087,54,02
"POLIGONO ROMICA C/4, 106",L: 24H,39.060639,ALBACETE,-1.836806,Albacete,1.55,NA,NA,NA,1.62,NA,NA,NA,ALBACETE,VILLAFUEL SL,13852,54,02
"MADRID-CARTAGENA km 248,5",L-D: 06:00-22:00,38.971722,ALBACETE,-1.845278,Albacete,1.709,NA,1.779,NA,1.769,1.819,NA,1.889,ALBACETE,"REPSOL. LOS ANGELES DE LA MANCHA, S.L.",9546,54,02
"CARRETERA C-M 332 KM. 2,6",L-D: 06:00-23:30,38.998111,ALBACETE,-1.831611,Albacete,1.749,1.639,1.809,NA,1.799,NA,NA,1.929,ALBACETE,"INLOCOR S.L. ""CEPSA""",4790,54,02
"AVENIDA 3ª ESQUINA C/ F Nº3, 3",L-D: 24H,39.009417,ALBACETE,-1.885694,Albacete,1.599,NA,NA,NA,1.699,NA,NA,NA,ALBACETE,FAST & GAS,12763,54,02
"POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69",L-D: 24H,39.018,ALBACETE,-1.874333,Albacete,1.629,NA,1.729,NA,1.729,NA,NA,1.859,ALBACETE,ENERCOM CARBURANTES,12801,54,02
"SECTOR PARCELA T-3 LOCAL52, 14",L-S: 06:00-23:00; D: 08:00-23:00,39.009639,ALBACETE,-1.878111,Albacete,1.681,NA,1.717,NA,1.727,NA,NA,1.828,ALBACETE,ALCAMPO,9601,54,02
"POLIGONO CAMPOLLANO C/.F, 13",L-D: 24H,39.012472,ALBACETE,-1.889417,Albacete,1.619,NA,NA,NA,NA,NA,NA,NA,ALBACETE,AVANZA OIL,10129,54,02
"POLIGONO CAMPOLLANO AVENIDA -0-, 69",L-V: 07:00-21:00; S-D: 09:00-14:00,39.021972,ALBACETE,-1.879639,Albacete,2.259,NA,NA,NA,2.299,NA,NA,2.369,ALBACETE,ABOIL,4413,54,02
"MADRID-CARTAGENA km 248,5",L-V: 06:00-22:00,38.971778,ALBACETE,-1.845306,Albacete,1.709,NA,1.779,NA,1.769,NA,NA,1.889,ALBACETE,REPSOL Nº ESTACIÓN 97179,11297,54,02
"AVENIDA PRIMERA, 94",L-V: 06:00-22:00; S: 06:00-14:00,39.016361,ALBACETE,-1.893944,Albacete,1.609,NA,1.659,NA,1.729,NA,NA,NA,ALBACETE,INPEALSA,4417,54,02
"POLIGONO CAMPOLLANO, 55",L-V: 05:30-23:00; S: 06:30-22:30; D: 07:30-21:00,39.015444,ALBACETE,-1.871361,Albacete,1.749,NA,1.819,NA,1.779,NA,NA,1.899,ALBACETE,CEPSA,13620,54,02
"AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67",L-D: 24H,39.021583,ALBACETE,-1.886556,Albacete,1.649,NA,NA,NA,1.729,NA,NA,NA,ALBACETE,VALERO 24H,13930,54,02
"AVENIDA PRIMERA, S/N",L-D: 24H,39.022139,ALBACETE,-1.882056,Albacete,1.559,NA,NA,NA,1.619,NA,NA,NA,ALBACETE,GMOIL,13369,54,02
"AUTOVIA A-30 KM. 239,4",L-D: 24H,39.060528,ALBACETE,-1.933056,Albacete,1.729,NA,1.809,NA,1.769,NA,NA,NA,ALBACETE,CEPSA,5174,54,02
"POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N",L-D: 06:30-22:30,38.969361,ALBACETE,-1.823639,Albacete,1.759,NA,1.829,NA,1.799,NA,NA,1.939,ALBACETE,CEPSA,14287,54,02
"CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238",L-D: 07:00-22:00,38.970778,ALBACETE,-1.873194,Albacete,1.639,NA,NA,NA,1.729,NA,NA,NA,ALBACETE,AREA LOS LLANOS,14465,54,02
"AUTOVIA A-30 KM. 239,4",L-D: 07:00-23:00,39.059806,ALBACETE,-1.93325,Albacete,1.709,NA,1.789,NA,1.769,NA,NA,1.901,ALBACETE,CEPSA,5173,54,02
"CM-3203 km 41,9",L-D: 07:00-21:30,38.646833,ALCADOZO,-1.978917,Alcadozo,1.759,1.439,1.829,NA,1.799,NA,NA,NA,ALBACETE,CEPSA,4794,57,02
"CARRETERA CM-3201 47,1 KM. 47,1",L-D: 08:00-21:00,39.203167,ALCALA DEL JUCAR,-1.433222,Alcalá del Júcar,1.659,NA,NA,NA,1.739,NA,NA,NA,ALBACETE,EL JUCAR,8097,58,02
"CR N-322 276,5",L-D: 07:00-22:00,38.673111,ALCARAZ,-2.492222,Alcaraz,1.709,NA,1.779,NA,1.809,NA,NA,1.949,ALBACETE,REPSOL,5241,59,02
CARRETERA N-430 BADAJOZ A VALENCIA KM. 594,L-D: 24H,38.850278,ALMANSA,-1.027694,Almansa,1.599,1.389,NA,NA,1.699,NA,NA,NA,ALBACETE,GASOLINERA LOW COST PENADES,14129,60,02
"AVENIDA INFANTE DON JUAN MANUEL, 8",L-D: 24H,38.874556,ALMANSA,-1.102944,Almansa,1.609,NA,NA,NA,1.679,NA,NA,NA,ALBACETE,QUALITY ALMANSA,14256,60,02
"AVENIDA MADRID, 11",L-V: 06:00-22:00,38.871556,ALMANSA,-1.108,Almansa,1.729,NA,1.799,NA,1.774,1.869,NA,NA,ALBACETE,CEPSA,4798,60,02
"AVENIDA CIRCUNVALACION, 9",L-D: 06:00-22:00,38.879167,ALMANSA,-1.098889,Almansa,1.729,NA,1.799,NA,1.774,1.869,NA,NA,ALBACETE,CEPSA,4872,60,02
"AVENIDA CIRCUNVALACION, 17",L-D: 24H,38.874083,ALMANSA,-1.089278,Almansa,1.609,NA,NA,NA,NA,NA,NA,NA,ALBACETE,GASÓLEOS S. ALMANSA,11931,60,02
"AUTOVIA A-31 KM. 143,350",L-D: 06:00-22:00,38.878278,ALMANSA,-1.143722,Almansa,1.749,NA,1.819,NA,1.809,NA,NA,1.879,ALBACETE,CEPSA,4799,60,02
AUTOVIA A-31 KM. 140,L-D: 07:00-23:00,38.875028,ALMANSA,-1.17575,Almansa,1.734,NA,1.814,NA,1.779,NA,NA,1.919,ALBACETE,SHELL,4383,60,02
"CL AVDA. DE AYORA, S.N. A",L-D: 06:00-22:00,38.874583,ALMANSA,-1.100528,Almansa,1.719,NA,1.819,NA,1.769,NA,NA,1.929,ALBACETE,REPSOL,4877,60,02
"AVENIDA CIRCUNVALACION, 26",L-D: 06:00-22:00,38.859944,ALMANSA,-1.08475,Almansa,1.739,NA,1.815,NA,1.789,NA,NA,NA,ALBACETE,CEPSA,4788,60,02
"BONETE, S/Nº",L-D: 24H,38.958875,ALPERA,-1.236552,Alpera,1.571,1.183,NA,NA,1.627,NA,NA,NA,ALBACETE,COOPERATIVA SANTA CRUZ DE ALPERA,9035,61,02
"N-322 km 326,2",L-D: 07:00-23:00,38.878028,BALAZOTE,-2.150639,Balazote,1.725,1.45,NA,NA,1.775,NA,NA,NA,ALBACETE,E.S. BALAZOTE S.L.,4396,63,02
"CALLE ALBACETE, 57",L-D: 06:00-23:00,39.043139,BARRAX,-2.195139,Barrax,1.725,1.45,NA,NA,1.775,NA,NA,NA,ALBACETE,E.S. BARRAX S.L.,4399,66,02
CAMINO DE LOS GONZALOS SN,L-D: 24H,39.051236,BARRAX,-2.192996,Barrax,1.609,1.251,NA,NA,NA,NA,NA,NA,ALBACETE,COABA,9254,66,02
CARRETERA BIENSERVIDA KM. 10,L-D: 07:00-22:00,38.516417,BIENSERVIDA,-2.617667,Bienservida,1.559,NA,NA,NA,1.689,NA,NA,NA,ALBACETE,GASOLINERA ETENOIL,11364,67,02
AUTOVIA A-31 KM. 126,L-D: 06:00-22:00,38.875861,BONETE,-1.3315,Bonete,1.719,NA,1.789,NA,1.759,NA,NA,1.889,ALBACETE,REPSOL,5268,69,02
"CR N-430, 566,3",L-D: 06:00-22:00,38.876111,BONETE,-1.331611,Bonete,1.719,NA,1.799,NA,1.759,NA,NA,1.899,ALBACETE,REPSOL,5269,69,02
"CALLE CARRETERA MUNERA, 2",S-D: 07:00-15:00,38.953361,BONILLO (EL),-2.535056,Bonillo (El),1.689,1.426,1.749,NA,1.719,NA,NA,1.839,ALBACETE,REPSOL,5282,70,02
"AVDA. ALBACETE, 33",L-D: 07:00-23:00,39.100792,CASAS DE JUAN NUÑEZ,-1.560857,Casas de Juan Núñez,1.679,1.2,NA,NA,1.779,NA,NA,NA,ALBACETE,GASOLINERAS DEL REY,4390,72,02
"CARRETERA CASAS IBAÑEZ KM. 13,8",L-V: 08:00-13:30 y 15:00-18:00,39.255139,CASAS DE VES,-1.332194,Casas de Ves,NA,1.2,NA,NA,NA,NA,NA,NA,ALBACETE,COOPERATIVA,15626,74,02
"AVDA. DEL VINO, 10",L-D: 24H,39.291375,CASAS-IBAÑEZ,-1.474107,Casas-Ibáñez,NA,1.35,NA,NA,NA,NA,NA,NA,ALBACETE,CEPSA,10953,75,02
CARRETERA ALBACETE KM. 94,L-D: 07:00-21:00,39.283944,CASAS-IBAÑEZ,-1.477806,Casas-Ibáñez,1.769,1.429,1.829,NA,1.789,NA,NA,1.919,ALBACETE,CEPSA,5204,75,02
"CARRETERA N-344 KM. 114,500",L-D: 24H,38.710861,CAUDETE,-0.974778,Caudete,1.654,1.274,NA,NA,NA,NA,NA,NA,ALBACETE,TRANSPORTES CAUDETE,12471,76,02
"CR N-330, 71,4",L-D: 06:00-23:00,38.756417,CAUDETE,-0.955833,Caudete,1.719,1.379,1.799,NA,1.759,NA,NA,1.899,ALBACETE,REPSOL,4820,76,02
"CR N-344 DIRC.VALENCIA, KM.  118.3",L-D: 06:00-22:00,38.727472,CAUDETE,-0.943,Caudete,1.739,NA,1.83,NA,1.79,NA,NA,1.931,ALBACETE,BP PARGA I PETROL BAS BEL,5142,76,02
CARRETERA D12 ESTACION KM. 1,L-D: 24H,38.71075,CAUDETE,-0.973861,Caudete,NA,NA,NA,NA,NA,NA,NA,NA,ALBACETE,HAM,15047,76,02
"AVENIDA VALENCIA DE, 16",L-D: 06:00-22:00,38.708944,CAUDETE,-0.982111,Caudete,1.749,NA,1.839,NA,1.809,NA,NA,1.959,ALBACETE,GALP,5323,76,02
CARRETERA D-12 ESTACION KM. 32,L-D: 24H,38.711694,CAUDETE,-0.971639,Caudete,1.659,1.279,NA,NA,1.729,NA,NA,NA,ALBACETE,VILA Y FAYOS,14203,76,02
AUTOVIA A-31 KM. 172,L-V: 07:00-15:00,38.721917,CAUDETE,-0.933861,Caudete,1.772,NA,1.872,NA,1.849,NA,NA,1.969,ALBACETE,BP OIL,9293,76,02
"CALLE VIRGEN DE LAS NIEVES, 17",L-D: 24H,39.301,CENIZATE,-1.664167,Cenizate,1.556,1.126,NA,NA,1.596,NA,NA,NA,ALBACETE,VIRGEN DE LAS NIEVES,12074,77,02
AUTOVIA A-31 KM. 86,L-D: 06:00-23:00,38.937583,CHINCHILLA DE MONTE-ARAGO,-1.758,Chinchilla de Monte-Aragón,1.719,NA,1.819,NA,1.769,NA,NA,1.919,ALBACETE,REPSOL,5170,78,02
"Ctra. AB-430 KM 530,3",L: 06:00-22:00,38.915972,CHINCHILLA DE MONTE-ARAGO,-1.726278,Chinchilla de Monte-Aragón,1.729,NA,1.789,NA,1.769,NA,NA,1.889,ALBACETE,REPSOL,5230,78,02
AUTOVIA A-31 KM. 86,L-D: 06:00-23:00,38.938611,CHINCHILLA DE MONTE-ARAGO,-1.757611,Chinchilla de Monte-Aragón,1.719,NA,1.819,NA,1.769,NA,NA,NA,ALBACETE,REPSOL,5171,78,02
CL AVENIDA GENERALISIMO 107 (N-301 km 276),L-D: 06:00-22:00,38.803389,POZO BUENO,-1.731861,Chinchilla de Monte-Aragón,1.739,NA,1.839,NA,1.769,1.799,NA,NA,ALBACETE,REPSOL,5196,78,02
AUTOVIA A31 KM. 111,L-V: 06:00-22:00; S-D: 07:00-22:00,38.898306,VILLAR DE CHINCHILLA,-1.502806,Chinchilla de Monte-Aragón,1.749,NA,1.849,NA,1.799,NA,NA,1.939,ALBACETE,CEPSA,4800,78,02
"CL BOLEA, 36 (CM-412 km 235,65)",L: 06:00-22:00,38.451306,ELCHE DE LA SIERRA,-2.044778,Elche de la Sierra,1.739,1.437,1.799,NA,1.769,NA,NA,1.909,ALBACETE,CAMPSA,5255,81,02
"POLIGONO EL CAMPILLO A, 2",L-V: 08:00-21:00; S: 08:00-14:00,38.460694,ELCHE DE LA SIERRA,-2.017917,Elche de la Sierra,1.669,NA,NA,NA,1.71,NA,NA,NA,ALBACETE,DLP,15394,81,02
"LA HIGUERA, 000",L-D: 24H,38.695348,FUENTE-ALAMO,-1.431579,Fuente-Álamo,1.54,1.16,NA,NA,NA,NA,NA,NA,ALBACETE,SAN DIONISIO,10621,84,02
"AVDA. DOCTOR PEREZ GIL, 25",L-D: 07:00-21:00,38.689833,FUENTE-ALAMO,-1.433306,Fuente-Álamo,1.679,1.239,NA,NA,1.749,NA,NA,1.87,ALBACETE,Nº 7374,4422,84,02
N-322 (CORDOBA-VALENCIA) km 399,L-D: 07:00-20:00,39.269972,FUENTEALBILLA,-1.548639,Fuentealbilla,1.629,1.249,NA,NA,1.719,NA,NA,NA,ALBACETE,ES SAN ANTONIOABAD. FUENTEALBILLA,4403,85,02
"CR N-301, 231,8",L-D: 07:00-21:00,39.107667,GINETA (LA),-1.990194,Gineta (La),1.699,NA,1.759,NA,1.749,NA,NA,1.879,ALBACETE,REPSOL,5237,86,02
"CR A-31, 235",L-D: 06:00-22:00,39.086278,GINETA (LA),-1.963944,Gineta (La),1.719,NA,1.819,NA,1.769,1.809,NA,1.929,ALBACETE,REPSOL,4841,86,02
CARRETERA NACIONAL 322 KM. 390,L: 06:00-22:00,39.238111,GOLOSALVO,-1.635111,Golosalvo,1.749,NA,1.829,NA,1.799,NA,NA,1.929,ALBACETE,CEPSA,4789,87,02
"MELCHOR  DE MACANAZ, 66",L: 06:00-23:00,38.511222,HELLIN,-1.696972,Hellín,1.739,NA,1.789,NA,1.759,NA,NA,1.869,ALBACETE,BP,4423,88,02
"CARRETERA A-30 KM. 328,2",L-D: 06:00-22:00,38.417306,HELLIN,-1.571667,Hellín,1.729,NA,1.819,NA,1.774,1.835,NA,NA,ALBACETE,CEPSA,5312,88,02
CARRETERA N 301-A KM. S/N,L-D: 24H,38.502528,HELLIN,-1.677694,Hellín,1.595,NA,NA,NA,1.675,NA,NA,NA,ALBACETE,MULTSER-OIL,14148,88,02
"AUTOVIA A-30 KM. 322,5",L-D: 06:00-22:00,38.46425,HELLIN,-1.596722,Hellín,1.739,NA,1.809,NA,1.799,NA,NA,1.929,ALBACETE,GALP,10575,88,02
CARRETERA JAEN KM. 47,L-D: 08:00-21:00,38.502889,HELLIN,-1.714556,Hellín,1.729,NA,1.789,NA,1.739,NA,NA,1.859,ALBACETE,REPSOL,4806,88,02
"POLIGONO SAN RAFAEL 3ª FASE, SN",L-D: 24H,38.545111,HELLIN,-1.705389,Hellín,1.779,NA,NA,NA,NA,NA,NA,NA,ALBACETE,IDS,11142,88,02
CARRETERA TORREUCHEA KM. 1,L-D: 24H,38.495972,HELLIN,-1.636389,Hellín,1.798,1.699,1.819,NA,1.799,NA,NA,1.899,ALBACETE,HELLIN GAS S.L.,11181,88,02
"AVENIDA LIBERTAD, 111",L-D: 24H,38.517306,HELLIN,-1.700417,Hellín,1.575,NA,NA,NA,1.649,NA,NA,NA,ALBACETE,PLENOIL,14611,88,02
CARRETERA CM 412 KM. 273,L-D: 06:30-22:00,38.532389,HELLIN,-1.694889,Hellín,1.575,NA,NA,NA,1.688,NA,NA,NA,ALBACETE,PETROGAS,13229,88,02
CARRETERA N-301 KM. 316,L-D: 06:00-23:00,38.524444,HELLIN,-1.703056,Hellín,1.739,NA,1.799,NA,1.749,NA,NA,1.869,ALBACETE,REPSOL,5135,88,02
CARRETERA MURCIA KM. 33,L-D: 06:00-23:00,38.506806,HELLIN,-1.687833,Hellín,1.729,NA,1.789,NA,1.739,NA,NA,1.859,ALBACETE,PETRONOR,4831,88,02
CARRETERA DE HELLIN KM. 104,L-D: 06:00-23:00,38.491861,ISSO,-1.741111,Hellín,1.729,1.447,1.789,NA,1.729,NA,NA,1.849,ALBACETE,REPSOL,5163,88,02
"BALTASAR GONZALEZ SAEZ, 34 - 36",L-D: 24H,38.960944,HIGUERUELA,-1.444083,Higueruela,1.644,1.171,NA,NA,1.665,NA,NA,NA,ALBACETE,NO,8895,90,02
"AUTOVIA A-31 KM. 103,150",L-D: 07:00-23:00,38.921833,HOYA-GONZALO,-1.583389,Hoya-Gonzalo,1.719,NA,1.809,NA,1.769,NA,NA,1.909,ALBACETE,REPSOL,4852,91,02
"CARRETERA A 45 KM. 39,8",L-D: 07:00-21:30,38.356556,LETUR,-2.111056,Letur,1.717,1.357,NA,NA,1.755,NA,NA,NA,ALBACETE,E.S. LETUR,4393,93,02
"PASEO LIBERTAD, 62",L-D: 7:00-20:30,38.948472,LEZUZA,-2.354861,Lezuza,1.709,NA,NA,NA,1.799,NA,NA,NA,ALBACETE,E.S. VIRGEN DE LA CRUZ,4371,94,02
CARRETERA C-3222 KM. 9,L-S: 07:00-15:00,39.226611,MADRIGUERAS,-1.800611,Madrigueras,1.659,NA,NA,NA,1.719,NA,NA,NA,ALBACETE,Q8,10983,96,02
AVENIDA DE LEVANTE 27,L-D: 24H,39.232528,MADRIGUERAS,-1.794139,Madrigueras,1.6,1.21,NA,NA,NA,NA,NA,NA,ALBACETE,SAT VIDEMA,9252,96,02
"AVENIDA LEVANTE, 15",L-D: 06:00-22:00,39.233056,MADRIGUERAS,-1.799472,Madrigueras,1.689,1.368,1.759,NA,1.719,NA,NA,NA,ALBACETE,REPSOL,5232,96,02
"CAMINO HORTIGOSA, S/N",L-D: 24H,39.209972,MAHORA,-1.729333,Mahora,1.6,1.2,NA,NA,NA,NA,NA,NA,ALBACETE,SECADEMA,9250,97,02
CARRETERA MADRID-CARTAGENA KM. S/N,L-D: 24H,39.273583,MINAYA,-2.325056,Minaya,1.585,1.215,NA,NA,NA,NA,NA,NA,ALBACETE,COOPERATIVA VITIVINICOLA SANTIAGO EL MAYOR,9219,99,02
"CARRERA N-301, 195,2",L-D: 06:00-23:00,39.276056,MINAYA,-2.330333,Minaya,1.739,1.379,1.809,NA,1.799,NA,NA,1.929,ALBACETE,REPSOL,5277,99,02
"CALLE CAPATAZ SANTIAGO, 91",L-D: 06:30-23:00,38.789694,MONTEALEGRE DEL CASTILLO,-1.32875,Montealegre del Castillo,1.539,1.179,NA,NA,NA,NA,NA,NA,ALBACETE,BODEGAS SANTIAGO APOSTOL,10526,102,02
"CALLE CAPATAZ SANTIAGO, 23",L-D: 07:00-21:00,38.785917,MONTEALEGRE DEL CASTILLO,-1.33025,Montealegre del Castillo,1.729,NA,NA,NA,1.779,NA,NA,NA,ALBACETE,LOS CORRALES,5202,102,02
MEDIO DÍA 28,L-D: 24H,39.17907,MOTILLEJA,-1.788246,Motilleja,NA,1.23,NA,NA,NA,NA,NA,NA,ALBACETE,SAT MOTILLEJA,10015,103,02
"CALLE COOPERATIVAS, 4",L-D: 24H,39.046139,MUNERA,-2.480694,Munera,1.449,1.08,NA,NA,1.579,NA,NA,NA,ALBACETE,OLEOVINICOLA CAMPOS DE MUNERA S. COOP. DE C-LM,12231,104,02
"CALLE POZO (EL), 106",L-D: 06:30-22:30,39.043806,MUNERA,-2.485028,Munera,1.619,NA,1.669,NA,1.729,NA,NA,NA,ALBACETE,INPEALSA,5213,104,02
CTRA DE LEDAÑA S/N km S/N,L-D: 24H,39.281778,NAVAS DE JORQUERA,-1.719778,Navas de Jorquera,1.55,1.147,NA,NA,NA,NA,NA,NA,ALBACETE,COOP SAN GREGORIO,9982,105,02
"CR AB-702, 45,6",L-D: 07:00-21:00,38.151167,NERPIO,-2.293444,Nerpio,1.689,1.462,NA,NA,1.719,NA,NA,1.839,ALBACETE,CAMPSA,5265,106,02
"CRTA.CM km KM297,5",L-D: 07:00-21:00,38.622944,ONTUR,-1.497667,Ontur,1.689,1.447,1.749,NA,1.719,1.749,NA,NA,ALBACETE,REPSOL,10619,107,02
CAMINO DE HELLIN S/N,L-D: 24H,38.609556,ONTUR,-1.508333,Ontur,1.599,1.342,NA,NA,NA,NA,NA,NA,ALBACETE,ONTALBA S. COOP DE C-LM,11340,107,02
CARRETERA N 430 KM. 429,L-S: 08:00-20:00; D: 08:00-18:00,38.967167,OSSA DE MONTIEL,-2.7515,Ossa de Montiel,1.689,NA,1.749,NA,1.719,1.749,NA,NA,ALBACETE,REPSOL,5270,108,02
"AVENIDA GUARDIA CIVIL, S/N",L-D: 24H,38.724028,PEÑAS DE SAN PEDRO,-1.990278,Peñas de San Pedro,1.649,NA,NA,NA,1.729,NA,NA,NA,ALBACETE,VALERO 24H ENERGIA,14417,110,02
CARRETERA FUENTEALAMO KM. 36,L-D: 24H,38.828806,PETROLA,-1.553694,Pétrola,1.699,NA,NA,NA,1.749,NA,NA,NA,ALBACETE,GASOLEOS TURBULA,4791,112,02
